step,time(fs),temperature(K),total_energy(eV)
0,0.0,338.01647299076836,-580.9958091791358
1,2.0,329.20873862908826,-580.9952356698568
2,4.0,308.63284730852547,-580.9936306425758
3,6.0,278.3267051028987,-580.9911638674649
4,8.0,241.45082715927757,-580.9879745658765
5,10.0,202.09122718993837,-580.9842067403125
6,12.0,164.82499659374108,-580.9806708852271
7,14.0,134.02923031087371,-580.9778846639668
8,16.0,113.07014759106302,-580.9763879819402
9,18.0,103.64813428903982,-580.97658922407
10,20.0,105.55081104546524,-580.9782367514808
11,22.0,116.88788145352652,-580.9807405109766
12,24.0,134.67577924181163,-580.9835203858698
13,26.0,155.5327166454479,-580.986058628611
14,28.0,176.28760950936763,-580.9881112244716
15,30.0,194.39697638903377,-580.9893382320487
16,32.0,208.14362970526957,-580.9899800351081
17,34.0,216.65751473972085,-580.9899112038094
18,36.0,219.83851012850795,-580.9894141921617
19,38.0,218.2317815669782,-580.9885644382441
20,40.0,212.8783242743761,-580.987369834697
21,42.0,205.14731647920584,-580.9861500120907
22,44.0,196.54372353909105,-580.9850212275609
23,46.0,188.50472776840542,-580.9841389326344
24,48.0,182.20371096751,-580.9835355865632
25,50.0,178.39834055882181,-580.9833535474737
26,52.0,177.3505731547628,-580.9835570131211
27,54.0,178.83621486318918,-580.9841111486762
28,56.0,182.24061179230713,-580.9848190866011
29,58.0,186.71202270131664,-580.9855580833528
30,60.0,191.34215443154622,-580.9861575479902
31,62.0,195.34118462552343,-580.9865938938426
32,64.0,198.17672097109056,-580.9867453422758
33,66.0,199.64696374503433,-580.9865869779762
34,68.0,199.8672058695474,-580.9862466688529
35,70.0,199.18000493857772,-580.9858466309023
36,72.0,198.02450515049796,-580.9854563356714
37,74.0,196.7962394004865,-580.9851709321998
38,76.0,195.74075213147393,-580.9851710047444
39,78.0,194.91262079031856,-580.9852252573659
40,80.0,194.1944054331472,-580.9854172350645
41,82.0,193.3530306657344,-580.9855850606872
42,84.0,192.112043429086,-580.9857725596336
43,86.0,190.22387180828062,-580.9859479491947
44,88.0,187.52763358456494,-580.9860351178392
45,90.0,183.99377735843956,-580.9859354051989
46,92.0,179.75152573567505,-580.9857761285239
47,94.0,175.09059763632786,-580.9853995936211
48,96.0,170.44264786151885,-580.985035051267
49,98.0,166.35411688744924,-580.9845580267045
50,100.0,163.43971402465212,-580.9840425864897
51,102.0,162.3150360050028,-580.9836731672716
52,104.0,163.50342312198927,-580.9833857183826
53,106.0,167.3198907373158,-580.98342144618
54,108.0,173.75557560060918,-580.9837751380128
55,110.0,182.39571360846838,-580.9844220935336
56,112.0,192.41440599040325,-580.9853871300014
57,114.0,202.67012216659484,-580.9864619858811
58,116.0,211.88977440811178,-580.9874028973669
59,118.0,218.90578683521,-580.9881008569572
60,120.0,222.8841487471113,-580.9883214228432
61,122.0,223.48116744768961,-580.9882014854256
62,124.0,220.88614799997356,-580.9876255202762
63,126.0,215.74941560684906,-580.9868083672322
64,128.0,209.031558530943,-580.9859025183491
65,130.0,201.79458450266725,-580.9851881428959
66,132.0,194.99755682574056,-580.9845936981475
67,134.0,189.35763174874,-580.9843684163324
68,136.0,185.28877162804585,-580.9842423926627
69,138.0,182.9170569231496,-580.9843843720641
70,140.0,182.1601983548396,-580.9845975605258
71,142.0,182.83187139520157,-580.9847750800956
72,144.0,184.71880340009844,-580.9849212100507
73,146.0,187.60184252179394,-580.9850567089622
74,148.0,191.22978173300575,-580.9853197916289
75,150.0,195.26657798502353,-580.9856854564007
76,152.0,199.25029795238788,-580.9861405547032
77,154.0,202.6100257404745,-580.9866439765752
78,156.0,204.73912131138923,-580.987015266011
79,158.0,205.1131044237559,-580.9873335033382
80,160.0,203.42700468899815,-580.987347114409
81,162.0,199.70234628168166,-580.9870164540368
82,164.0,194.33125229076003,-580.9864205927481
83,166.0,188.03115880988335,-580.9856830028374
84,168.0,181.70734046322852,-580.9848920028477
85,170.0,176.25626372863698,-580.9843741127759
86,172.0,172.3666447283285,-580.9840821474163
87,174.0,170.37736575237133,-580.9841867798665
88,176.0,170.23891995053913,-580.984547276925
89,178.0,171.59559993275354,-580.9849706556599
90,180.0,173.9406515078065,-580.9853633221737
91,182.0,176.78361002251512,-580.9857220886847
92,184.0,179.77782196224106,-580.9857956364568
93,186.0,182.77821968411317,-580.9857265925326
94,188.0,185.81955916459086,-580.9856060326108
95,190.0,189.02279935163497,-580.9853650504838
96,192.0,192.4739760392499,-580.9853951848053
97,194.0,196.1246818835633,-580.9855412059156
98,196.0,199.75292378843722,-580.985800297713
99,198.0,202.99510410440902,-580.9862055768245
100,200.0,205.4342234763757,-580.9865176729886
